Item_MRP,Item_Outlet_Sales,Item_Visibility,est.year,Item_Visibility_MeanRatio,NIT_DR,NIT_FD,NIT_NC,OS_High,OS_Medium,OS_Small,OT_Grocery Store,OT_Supermarket Type1,OT_Supermarket Type2,OT_Supermarket Type3,OLT_Tier 1,OLT_Tier 2,OLT_Tier 3,IF_LF,IF_reg
249.8092,3735.138,0.016047301,14,0.931077954,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
48.2692,443.4228,0.019278216,4,0.933419521,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
141.618,2097.27,0.016760075,14,0.960068754,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
182.095,732.38,0.017834338,15,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
53.8614,994.7052,0.009779829,26,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0
51.4008,556.6088,0.057058689,4,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
57.6588,343.5528,0.012741089,26,1.497197478,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
107.7622,4022.7636,0.127469857,28,0.870492882,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
96.9726,1076.5986,0.016687114,11,0.924160362,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
187.8214,4710.535,0.09444959,6,0.96398304,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
45.5402,1516.0266,0.040626524,14,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
144.1102,2187.153,0.045463773,16,1.036695207,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
145.4786,1589.2646,0.1000135,14,1.026359813,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
119.6782,2145.2076,0.047257328,16,0.922289906,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
196.4426,1977.426,0.0680243,26,1.171331365,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
56.3614,1547.3192,0.069088961,16,1.028072512,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
115.3492,1621.8888,0.008596051,4,1.003139548,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0
54.3614,718.3982,0.069196376,14,1.029670892,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
113.2834,2303.668,0.034237682,28,0.870492869,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
230.5352,2748.4224,0.10249212,9,0.922115518,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
250.8724,3775.086,0.138190277,26,1.139904494,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
144.5444,4064.0432,0.035399923,28,0.954309078,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
196.5084,1587.2672,0.025698134,9,0.862894395,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
107.6938,214.3876,0.057556998,28,1.531537188,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
165.021,4078.025,0.025896485,16,0.929632615,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
45.906,838.908,0.099887103,6,0.927506767,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
42.3112,1065.28,0.066693437,9,1.060235103,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
39.1164,308.9312,0.019356132,26,1.035277578,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
45.5086,178.4344,0.161466534,15,1.44458144,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
43.6454,125.8362,0.072221801,28,1.679002681,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
55.7956,163.7868,0.170348551,15,1.464116668,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
96.4436,2741.7644,0.080829372,4,1.003139541,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0
256.6672,3068.0064,0.093093474,4,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
93.1436,2174.5028,0.142462291,11,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
174.8738,2085.2856,0.097904029,16,0.92228992,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
146.7102,3791.0652,0.089291137,14,0.876088764,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
128.0678,2797.6916,0.059511812,28,0.954453963,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
122.5388,1609.9044,0.113123893,4,1.003139535,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
36.9874,388.1614,0.123111453,28,1.022799743,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
87.6198,2180.495,0.026480954,28,0.925130829,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
230.6352,3435.528,0.102511504,16,0.922289915,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
126.002,2150.534,0.02681843,26,0.921522416,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
192.9136,2527.3768,0.117818348,14,0.931077936,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
259.9278,6768.5228,0.069102831,4,0.933419538,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
126.5046,373.5138,0.042277867,26,0.99807879,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
178.1002,358.2004,0.089498926,15,1.464116668,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
153.3024,2428.8384,0.018756954,11,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
265.2226,5815.0972,0.025879577,11,0.924160346,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
60.622,2576.646,0.121632721,16,0.874728792,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
